Instance, Start Time, Type, NE, Alarm No, Description, Supp Info, Cancle Time, Star Rating
46,2017-09-05 01:15:06.45,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00BB FFFF,2017-09-05 01:17:44.66,.
47,2017-09-05 01:15:06.47,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00BC FFFF,2017-09-05 01:17:44.67,.
48,2017-09-05 01:15:06.49,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00BD FFFF,2017-09-05 01:17:44.68,.
49,2017-09-05 01:15:06.50,SWITCH,BCSU-1 1A004-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 00BE FFFF,2017-09-05 01:17:44.70,.
50,2017-09-05 01:15:06.51,SWITCH,BCSU-0 1A003-00 PS0PRB,1178,PREPROCESSOR UNIT DISTURBANCE,PCU2_E 6d 127d,2017-09-05 01:17:44.71,*
51,2017-09-05 01:15:06.52,SWITCH,BCSU-2 1A005-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX SP-UP 0030,2017-09-05 01:17:44.73,
52,2017-09-05 01:15:06.53,SWITCH,BCSU-2 1A005-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-UP SP-EX 0032,2017-09-05 01:17:44.74,
53,2017-09-05 01:15:06.54,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-EX SP-EX 0030,2017-09-05 01:17:44.75,
54,2017-09-05 01:15:06.56,SWITCH,BCSU-2 1A005-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX WO-EX 0030,2017-09-05 01:17:44.77,
55,2017-09-05 01:15:06.94,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0055 FFFF,2017-09-05 01:17:51.37,.
56,2017-09-05 01:15:06.94,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-RE SP-EX 0030,2017-09-05 01:17:51.38,
57,2017-09-05 01:15:06.96,SWITCH,BCSU-1 1A004-00 PS0PRB,1178,PREPROCESSOR UNIT DISTURBANCE,PCU2_E 6d 127d,2017-09-05 01:17:51.40,*
58,2017-09-05 01:15:06.97,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX SP-UP 0031,2017-09-05 01:17:51.41,
59,2017-09-05 01:15:06.98,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-UP SP-EX 0030,2017-09-05 01:17:51.42,
60,2017-09-05 01:15:06.98,SWITCH,BCSU-1 1A004-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-EX SP-EX 0031,2017-09-05 01:17:51.44,
61,2017-09-05 01:15:07.00,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX WO-EX 0031,2017-09-05 01:17:51.45,
62,2017-09-05 01:15:07.00,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0113 FFFF,2017-09-05 01:17:51.46,.
63,2017-09-05 01:15:07.01,SWITCH,BCSU-1 1A004-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-RE SP-EX 0031,2017-09-05 01:17:51.48,
64,2017-09-05 01:15:07.02,SWITCH,BCSU-0 1A003-00 PS0PRB,1178,PREPROCESSOR UNIT DISTURBANCE,PCU2_E 6d 127d,2017-09-05 01:17:51.49,*
65,2017-09-05 01:15:07.09,SWITCH,BCSU-1 1A004-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX SP-UP 0030,2017-09-05 01:17:51.50,
66,2017-09-05 01:15:07.10,SWITCH,BCSU-1 1A004-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-UP SP-EX 0031,2017-09-05 01:17:51.52,
67,2017-09-05 01:15:07.11,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-EX SP-EX 0030,2017-09-05 01:17:51.53,
68,2017-09-05 01:15:07.12,SWITCH,BCSU-1 1A004-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX WO-EX 0030,2017-09-05 01:17:51.55,
69,2017-09-05 01:15:07.13,SWITCH,BCSU-0 1A003-00 IULMAN,3159,SCTP ASSOCIATION LOST,01 0121 FFFF,2017-09-05 01:17:51.56,.
70,2017-09-05 01:15:07.14,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-RE SP-EX 0030,2017-09-05 01:17:51.57,
71,2017-09-05 01:15:07.44,SWITCH,BCSU-1 1A004-00 PS0PRB,1178,PREPROCESSOR UNIT DISTURBANCE,PCU2_E 6d 127d,2017-09-05 01:17:41.31,*
72,2017-09-05 01:15:07.46,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX SP-UP 0031,2017-09-05 01:17:41.32,
73,2017-09-05 01:15:07.47,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-UP SP-EX 0030,2017-09-05 01:17:41.33,
74,2017-09-05 01:15:07.54,SWITCH,BCSU-1 1A004-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-EX SP-EX 0031,2017-09-05 01:17:41.35,
75,2017-09-05 01:15:07.55,SWITCH,BCSU-0 1A003-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-EX WO-EX 0031,2017-09-05 01:17:41.36,
76,2017-09-05 01:15:07.58,SWITCH,OMU 1A003-08 ALARMP,2018,OVERFLOW IN HANDLING,00003159 05890000 00,2017-09-05 01:23:40.78,..
77,2017-09-05 01:15:35.41,SWITCH,STMU-0 1A001-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX BL-EX 0000,2017-09-05 01:17:23.89,
78,2017-09-05 01:15:35.43,SWITCH,STMU-0 1A001-03 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,BL-EX BL-RE 0000,2017-09-05 01:17:23.91,
79,2017-09-05 01:15:35.44,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,00E6 00 00,2017-09-05 01:17:23.92,..
80,2017-09-05 01:15:35.46,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0037 00 00,2017-09-05 01:17:23.94,..
81,2017-09-05 01:15:35.46,SWITCH,BCSU-0 1A003-00 PXNETM,1254,UNSOLICITED DATA LINK,0000 00 03,2017-09-05 01:17:23.95,*
82,2017-09-05 01:15:35.48,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,00F4 00 00,2017-09-05 01:17:23.96,..
83,2017-09-05 01:15:35.50,SWITCH,BCSU-1 1A004-00 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SP-RE SP-EX 0031,2017-09-05 01:17:23.98,
84,2017-09-05 01:15:35.51,SWITCH,STMU-0 1A001-03 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,BL-RE BL-ID 0000,2017-09-05 01:17:23.99,
85,2017-09-05 01:15:35.52,SWITCH,STMU-0 1A001-03 RCXPRO,0690,WORKING STATE CHANGE,BL-ID TE-EX 0000,2017-09-05 01:17:24.01,
86,2017-09-05 01:15:35.53,SWITCH,STMU-0 1A001-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-RE 0000,2017-09-05 01:17:24.02,
87,2017-09-05 01:15:35.55,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0124 00 00,2017-09-05 01:17:24.03,..
88,2017-09-05 01:15:35.93,SWITCH,STMU-0 1A001-03 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-RE WO-EX 0000,2017-09-05 01:17:41.14,
89,2017-09-05 01:15:35.95,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,004D 00 00,2017-09-05 01:17:41.15,..
90,2017-09-05 01:15:35.97,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,004E 00 00,2017-09-05 01:17:41.17,..
91,2017-09-05 01:15:36.00,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,004F 00 00,2017-09-05 01:17:41.18,..
92,2017-09-05 01:15:36.00,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0050 00 00,2017-09-05 01:17:41.19,..
93,2017-09-05 01:15:36.02,SWITCH,STMU-1 1A002-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX BL-EX 0000,2017-09-05 01:17:41.20,
94,2017-09-05 01:15:36.04,SWITCH,STMU-1 1A002-03 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,BL-EX BL-RE 0000,2017-09-05 01:17:41.22,
95,2017-09-05 01:15:36.43,SWITCH,BCSU-2 1A005-00 PXNETM,1254,UNSOLICITED DATA LINK,0000 00 03,2017-09-05 01:17:45.02,*
96,2017-09-05 01:15:36.45,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,00E0 00 00,2017-09-05 01:17:45.04,..
97,2017-09-05 01:15:36.46,SWITCH,STMU-1 1A002-03 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,BL-RE BL-ID 0000,2017-09-05 01:17:45.05,
98,2017-09-05 01:15:36.48,SWITCH,STMU-1 1A002-03 RCXPRO,0690,WORKING STATE CHANGE,BL-ID TE-EX 0000,2017-09-05 01:17:45.07,
99,2017-09-05 01:15:36.50,SWITCH,STMU-1 1A002-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-RE 0000,2017-09-05 01:17:45.08,
100,2017-09-05 01:15:36.51,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,005F 00 00,2017-09-05 01:17:45.09,..
101,2017-09-05 01:15:36.52,SWITCH,STMU-1 1A002-03 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-RE WO-EX 0000,2017-09-05 01:17:45.11,
102,2017-09-05 01:15:36.53,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0072 00 00,2017-09-05 01:17:45.12,..
103,2017-09-05 01:15:36.54,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0094 00 00,2017-09-05 01:17:45.13,..
104,2017-09-05 01:15:36.55,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,009D 00 00,2017-09-05 01:17:45.15,..
105,2017-09-05 01:15:36.57,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,00E1 00 00,2017-09-05 01:17:45.16,..
106,2017-09-05 01:15:36.95,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0061 00 00,2017-09-05 01:17:51.76,..
107,2017-09-05 01:15:36.95,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,00A2 00 00,2017-09-05 01:17:51.78,..
108,2017-09-05 01:15:36.97,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0062 00 00,2017-09-05 01:17:51.79,..
109,2017-09-05 01:15:36.98,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,00A9 00 00,2017-09-05 01:17:51.80,..
110,2017-09-05 01:15:36.99,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0063 00 00,2017-09-05 01:17:51.82,..
111,2017-09-05 01:15:36.99,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,00DB 00 00,2017-09-05 01:17:51.83,..
112,2017-09-05 01:15:37.01,SWITCH,SWU-0 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:51.85,
113,2017-09-05 01:15:37.01,SWITCH,SWU-0 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:51.86,
114,2017-09-05 01:15:37.02,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0065 00 00,2017-09-05 01:17:51.88,..
115,2017-09-05 01:15:37.03,SWITCH,SWU-0 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:51.89,
116,2017-09-05 01:15:37.10,SWITCH,SWU-0 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:51.91,
117,2017-09-05 01:15:37.11,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0102 00 00,2017-09-05 01:17:51.92,..
118,2017-09-05 01:15:37.12,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,010F 00 00,2017-09-05 01:17:51.93,..
119,2017-09-05 01:15:37.13,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,012F 00 00,2017-09-05 01:17:51.94,..
120,2017-09-05 01:15:37.14,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0123 00 00,2017-09-05 01:17:51.96,..
121,2017-09-05 01:15:37.15,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,012E 00 00,2017-09-05 01:17:51.97,..
122,2017-09-05 01:15:37.45,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0029 00 00,2017-09-05 01:17:41.71,..
123,2017-09-05 01:15:37.47,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,008D 00 00,2017-09-05 01:17:41.72,..
124,2017-09-05 01:15:37.48,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,002A 00 00,2017-09-05 01:17:41.73,..
125,2017-09-05 01:15:37.55,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,009B 00 00,2017-09-05 01:17:41.75,..
126,2017-09-05 01:15:37.56,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,002B 00 00,2017-09-05 01:17:41.76,..
127,2017-09-05 01:15:37.58,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,00CF 00 00,2017-09-05 01:17:41.77,..
128,2017-09-05 01:15:37.59,SWITCH,SWU-1 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:41.78,
129,2017-09-05 01:15:37.61,SWITCH,SWU-1 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:41.79,
130,2017-09-05 01:15:37.63,SWITCH,SWU-1 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:41.81,
131,2017-09-05 01:15:37.63,SWITCH,SWU-1 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:41.82,
132,2017-09-05 01:15:37.65,SWITCH,SWU-2 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:41.84,
133,2017-09-05 01:15:37.97,SWITCH,SWU-2 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:20.85,
134,2017-09-05 01:15:37.98,SWITCH,SWU-2 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:20.86,
135,2017-09-05 01:15:38.00,SWITCH,SWU-2 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:20.88,
136,2017-09-05 01:15:38.02,SWITCH,SWU-3 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:20.89,
137,2017-09-05 01:15:38.04,SWITCH,SWU-3 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:20.91,
138,2017-09-05 01:15:38.05,SWITCH,SWU-3 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:20.92,
139,2017-09-05 01:15:38.07,SWITCH,SWU-3 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:20.94,
140,2017-09-05 01:15:38.07,SWITCH,SWU-4 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:20.95,
141,2017-09-05 01:15:38.09,SWITCH,SWU-4 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:20.97,
142,2017-09-05 01:15:38.10,SWITCH,SWU-4 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:20.98,
143,2017-09-05 01:15:38.11,SWITCH,SWU-4 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:20.99,
144,2017-09-05 01:15:38.13,SWITCH,SWU-5 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:50.69,
145,2017-09-05 01:15:38.14,SWITCH,SWU-5 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:50.71,
146,2017-09-05 01:15:38.15,SWITCH,SWU-5 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:50.73,
147,2017-09-05 01:15:38.16,SWITCH,SWU-5 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:50.74,
148,2017-09-05 01:15:38.18,SWITCH,SWU-6 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:50.76,
149,2017-09-05 01:15:38.19,SWITCH,SWU-6 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:50.78,
150,2017-09-05 01:15:38.21,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,003F 00 00,2017-09-05 01:17:50.79,..
151,2017-09-05 01:15:38.22,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0140 00 00,2017-09-05 01:17:50.80,..
152,2017-09-05 01:15:38.23,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0040 00 00,2017-09-05 01:17:50.82,..
153,2017-09-05 01:15:38.25,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0041 00 00,2017-09-05 01:17:50.83,..
154,2017-09-05 01:15:38.27,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,00DA 00 00,2017-09-05 01:17:50.85,..
155,2017-09-05 01:15:38.28,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0133 00 00,2017-09-05 01:17:50.86,..
156,2017-09-05 01:15:38.29,SWITCH,SWU-6 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:50.88,
157,2017-09-05 01:15:38.60,SWITCH,SWU-6 1A004-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:25.13,
158,2017-09-05 01:15:38.62,SWITCH,SWU-7 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,WO-EX TE-EX 0000,2017-09-05 01:17:25.15,
159,2017-09-05 01:15:38.63,SWITCH,SWU-7 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX SE-OU 0000,2017-09-05 01:17:25.21,
160,2017-09-05 01:15:38.65,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0013 00 00,2017-09-05 01:17:25.24,..
161,2017-09-05 01:15:38.66,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0014 00 00,2017-09-05 01:17:25.26,..
162,2017-09-05 01:15:38.67,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0127 00 00,2017-09-05 01:17:25.28,..
163,2017-09-05 01:15:38.68,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0015 00 00,2017-09-05 01:17:25.29,..
164,2017-09-05 01:15:39.10,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0045 00 00,2017-09-05 01:17:23.41,..
165,2017-09-05 01:15:39.12,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,00FB 00 00,2017-09-05 01:17:23.42,..
166,2017-09-05 01:15:39.12,SWITCH,SWU-7 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,SE-OU TE-EX 0000,2017-09-05 01:17:23.44,
167,2017-09-05 01:15:39.15,SWITCH,SWU-7 1A005-03 RCXPRO,0690,WORKING STATE CHANGE,TE-EX WO-EX 0000,2017-09-05 01:17:23.45,
168,2017-09-05 01:15:39.16,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,0048 00 00,2017-09-05 01:17:23.46,..
169,2017-09-05 01:15:39.18,SWITCH,SWU-60 1A003-04 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,WO-EX TE-EX 0000,2017-09-05 01:17:23.48,
170,2017-09-05 01:15:39.20,SWITCH,BCSU-0 1A003-00 IULMAN,2250,FAILURE IN D-CHANNEL,004A 00 00,2017-09-05 01:17:23.49,..
171,2017-09-05 01:15:39.61,SWITCH,SWU-60 1A003-04 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,TE-EX SE-OU 0000,2017-09-05 01:17:22.90,
172,2017-09-05 01:15:39.63,SWITCH,BCSU-1 1A004-00 IULMAN,2250,FAILURE IN D-CHANNEL,0074 00 00,2017-09-05 01:17:22.92,..
173,2017-09-05 01:15:39.65,SWITCH,SWU-60 1A003-04 RCXPRO,0691,AUTOMATIC RECOVERY ACTION,SE-OU TE-EX 0000,2017-09-05 01:17:22.92,
